t,x,y,z,vx,vy,vz,mu,mu_avg,Bmag
0.00000000,5.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.50000000,0.0625000000,0.0625000000,8.00000000
0.20000000,4.87010143,0.12418828,0.09783349,-1.00943197,-0.05524595,0.47748821,0.0555651120,0.0599565381,8.64892838
0.40000000,4.76393928,-0.01268626,0.20171440,0.23526538,-0.91296744,0.60094979,0.0502526470,0.0558330974,9.24895282
0.60000000,4.90603562,-0.06652616,0.33507990,0.73437625,0.52117625,0.66262119,0.0589671824,0.0552706708,8.46564844
0.80000000,4.91887321,0.10977861,0.43622717,-0.68745325,0.82332167,0.31551459,0.0607812848,0.0563487076,8.39460504
1.00000000,4.72375352,0.12545415,0.48226907,-0.79768503,-0.73197968,0.27911351,0.0522327217,0.0565980489,9.47419656
1.20000000,4.72667941,-0.03917616,0.59183964,0.70339535,-0.36095581,0.79053519,0.0537937890,0.0565438023,9.46199130
1.40000000,4.83114056,0.05495795,0.73277351,-0.05608063,1.02698453,0.43835800,0.0608762400,0.0563860734,8.85373614
1.60000000,4.68275406,0.18470234,0.75205299,-1.10617263,-0.12872576,-0.09905453,0.0555986830,0.0560110542,9.69812580
1.80000000,4.57931517,0.02751596,0.79083095,0.32240693,-0.86120472,0.63590896,0.0523149784,0.0566275121,10.38774799
2.00000000,4.69370740,0.03687138,0.94511448,0.27850835,0.91500848,0.57895819,0.0593677319,0.0562925166,9.62779762
2.20000000,4.59579565,0.20246838,0.95638084,-1.05019171,0.16893349,-0.34432374,0.0566526959,0.0559100554,10.22185229
2.40000000,4.47381460,0.06356066,0.94213453,0.21731305,-0.98467089,0.48290607,0.0527136380,0.0564416736,11.10722363
2.60000000,4.58765755,0.05513104,1.08831798,0.32693012,0.92423331,0.53750302,0.0587400988,0.0562105809,10.27224656
2.80000000,4.49883369,0.21838516,1.06877662,-0.96909884,0.06291730,-0.55397549,0.0562112934,0.0559419018,10.85663502
3.00000000,4.41472339,0.06353795,1.03759628,0.44601922,-0.88718603,0.51377796,0.0534358314,0.0562489578,11.52933198
3.20000000,4.53709188,0.09879324,1.16693246,0.18428112,1.06739344,0.27696879,0.0588183563,0.0561732718,10.58527950
3.40000000,4.43219540,0.22892800,1.09284567,-0.82440225,-0.33100806,-0.67881852,0.0551179704,0.0560130234,11.33524642
3.60000000,4.42012009,0.05402401,1.07742172,0.76815676,-0.54767556,0.59998890,0.0544379430,0.0560770179,11.47545356
3.80000000,4.54002381,0.15608001,1.16905509,-0.04808048,1.11179858,-0.10766703,0.0589648659,0.0561967017,10.55324785
4.00000000,4.42429404,0.22778705,1.04758520,-0.56079887,-0.71489244,-0.65148556,0.0539553622,0.0560921130,11.41079230
4.20000000,4.48510657,0.05976885,1.05035421,0.96719615,-0.16201429,0.53691990,0.0554238213,0.0559794759,10.99662706
4.40000000,4.59515274,0.20445116,1.09242089,-0.19444126,1.02985079,-0.38935836,0.0591370994,0.0562674825,10.19362823
4.60000000,4.48176370,0.23593974,0.94779118,-0.36857225,-0.84531301,-0.63213955,0.0531428841,0.0561436909,11.00516657
4.80000000,4.57947705,0.07905289,0.93678096,1.06399758,-0.05060541,0.33962958,0.0557134139,0.0559297323,10.35998806
5.00000000,4.70177278,0.22745524,0.94598769,-0.13050855,1.01704368,-0.44563400,0.0598341039,0.0563914685,9.54599340
5.20000000,4.59043680,0.27765735,0.79636822,-0.47389344,-0.68657933,-0.74433449,0.0530353065,0.0562108826,10.25638727
5.40000000,4.66195036,0.11080066,0.73352858,1.06249499,-0.34417691,0.05144553,0.0544158877,0.0559100202,9.84447539
5.60000000,4.83102968,0.21291226,0.72484197,0.23718984,1.04215531,-0.32810561,0.0609129151,0.0564392780,8.83090261
5.80000000,4.74551161,0.34009112,0.59686675,-0.76333252,-0.12217772,-0.80771039,0.0552527252,0.0563487148,9.27912550
6.00000000,4.70581213,0.19189026,0.47152510,0.61075600,-0.86205591,-0.36583700,0.0512752438,0.0561719252,9.56945652
6.20000000,4.89868064,0.16943684,0.42099934,0.83749106,0.68675960,-0.27743463,0.0596940519,0.0561654459,8.49013375
6.40000000,4.92101938,0.35069528,0.33059062,-0.61380060,0.70036000,-0.61866364,0.0603714386,0.0566581073,8.32738818
6.60000000,4.76806817,0.33735828,0.19827146,-0.45878052,-0.80148995,-0.63018592,0.0510356619,0.0565734452,9.15621037
6.80000000,4.83598845,0.18233172,0.08832482,0.96106748,-0.28075026,-0.49752244,0.0537730927,0.0561682146,8.82304934
7.00000000,4.98788165,0.27548082,-0.01151493,0.20254015,0.97768131,-0.50310709,0.0622481542,0.0565809904,8.02171955
7.20000000,4.88593888,0.42443239,-0.10848326,-1.00407874,0.16830356,-0.46206038,0.0573841028,0.0563506240,8.47731314
7.40000000,4.74755082,0.31389904,-0.20614523,-0.00844515,-0.96644367,-0.56206343,0.0500244540,0.0568708678,9.28420953
7.60000000,4.86992148,0.22226548,-0.33775274,0.81731052,0.31237034,-0.69600882,0.0573145030,0.0563563118,8.63075925
7.80000000,4.91636240,0.38537270,-0.45007389,-0.51532603,0.92110314,-0.36879273,0.0615079663,0.0564482703,8.33661917
8.00000000,4.72729152,0.43810271,-0.49574123,-0.94470600,-0.56062268,-0.20792493,0.0534844296,0.0563908021,9.34205127
8.20000000,4.69183208,0.26670992,-0.58746017,0.59868702,-0.58418940,-0.74181978,0.0525448827,0.0566547199,9.62872018
8.40000000,4.80934505,0.32286353,-0.73717055,0.12066984,0.96660530,-0.54873763,0.0604826096,0.0563947076,8.91562734
8.60000000,4.68587153,0.47412242,-0.77151537,-1.10895504,0.08943770,0.11054232,0.0567881578,0.0559402439,9.55284595
8.80000000,4.55397188,0.33517338,-0.78854114,0.14680489,-0.98898846,-0.50035003,0.0519158275,0.0566650431,10.47746685
9.00000000,4.66564450,0.30297307,-0.94065045,0.41326473,0.77193028,-0.69522364,0.0586584047,0.0562895867,9.74192437
9.20000000,4.59401411,0.47845402,-0.97550787,-1.00654827,0.37726485,0.30746027,0.0575381148,0.0559210856,10.09580338
9.40000000,4.45143667,0.36450220,-0.94039766,0.05131175,-1.07248750,-0.31166914,0.0525381413,0.0564551542,11.16651331
9.60000000,4.56118179,0.31644657,-1.08068895,0.44882095,0.77909317,-0.66451003,0.0581581833,0.0562022314,10.38048295
9.80000000,4.49528552,0.49132192,-1.08696491,-0.94568599,0.28156332,0.52573768,0.0569769067,0.0559470118,10.72388150
10.00000000,4.39012585,0.35709920,-1.03107758,0.31254608,-1.01642450,-0.34524801,0.0530971337,0.0562647737,11.61369784
10.20000000,4.51548370,0.35432886,-1.16091457,0.31648107,0.98053570,-0.43403855,0.0584955012,0.0561566945,10.64844821
10.40000000,4.42805533,0.50700514,-1.10943156,-0.85660605,-0.10255469,0.71113191,0.0558499452,0.0559926109,11.18765511
10.60000000,4.39211295,0.34046841,-1.06418680,0.68759634,-0.74049070,-0.47841905,0.0538548691,0.0561062175,11.59763095
10.80000000,4.52422987,0.41013865,-1.16711201,0.09084760,1.11249830,-0.06398625,0.0589275009,0.0561869435,10.55340664
11.00000000,4.41857616,0.51506129,-1.06021642,-0.65423279,-0.51015370,0.74948159,0.0546200916,0.0560630780,11.26763237
11.20000000,4.45441323,0.34212759,-1.03279082,0.93781314,-0.38182866,-0.47403944,0.0546616678,0.0559911266,11.13379635
11.40000000,4.58349573,0.46212559,-1.09259413,-0.05349676,1.09289950,0.22958392,0.0593269101,0.0562668000,10.14741010
11.60000000,4.47502297,0.53190827,-0.95666557,-0.49958775,-0.66348241,0.74846721,0.0537992593,0.0561285935,10.86869114
11.80000000,4.54551678,0.36518906,-0.91781892,1.04480445,-0.27019631,-0.29219446,0.0547764637,0.0559314285,10.49970312
12.00000000,4.68955725,0.48989560,-0.94294565,0.02723371,1.07542959,0.30448239,0.0600312098,0.0563643602,9.49941018
12.20000000,4.58682279,0.57828200,-0.80424392,-0.59495024,-0.47692384,0.81766610,0.0540197577,0.0562135103,10.09503239
12.40000000,4.62431263,0.41108822,-0.71696341,0.97635013,-0.54392547,0.02975742,0.0533229852,0.0559528369,9.97801711
12.60000000,4.80884943,0.48073272,-0.71355617,0.41730083,1.01239292,0.22565592,0.0605969677,0.0563299688,8.84751714
12.80000000,4.74726917,0.63471134,-0.60152369,-0.77829120,0.11812646,0.79391999,0.0567853581,0.0564090008,9.09532765
13.00000000,4.67442375,0.51158020,-0.46381066,0.39357184,-0.93978044,0.46034110,0.0507140924,0.0562759076,9.61479326
13.20000000,4.85634108,0.45207868,-0.40503654,0.95787072,0.51601912,0.25730903,0.0583213436,0.0560528373,8.61769117
